index,fname,label,real_int,real_str
30.0,30.png,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]","9, 9, 5, 6","Ankle boot, Ankle boot, Sandal, Shirt"
31.0,31.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","6, 9, 6, 9","Shirt, Ankle boot, Shirt, Ankle boot"
32.0,32.png,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]","3, 4, 4, 7","Dress, Coat, Coat, Sneaker"
33.0,33.png,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]","0, 8, 6, 0","T-shirt/top, Bag, Shirt, T-shirt/top"
34.0,34.png,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","5, 1, 5, 3","Sandal, Trouser, Sandal, Dress"
35.0,35.png,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","5, 9, 2, 4","Sandal, Ankle boot, Pullover, Coat"
36.0,36.png,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","5, 4, 9, 2","Sandal, Coat, Ankle boot, Pullover"
37.0,37.png,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","6, 3, 2, 3","Shirt, Dress, Pullover, Dress"
38.0,38.png,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","5, 2, 0, 0","Sandal, Pullover, T-shirt/top, T-shirt/top"
39.0,39.png,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]","9, 7, 5, 6","Ankle boot, Sneaker, Sandal, Shirt"
40.0,40.png,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","7, 8, 3, 7","Sneaker, Bag, Dress, Sneaker"
41.0,41.png,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","3, 7, 9, 1","Dress, Sneaker, Ankle boot, Trouser"
42.0,42.png,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","2, 3, 1, 6","Pullover, Dress, Trouser, Shirt"
43.0,43.png,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]","5, 0, 7, 4","Sandal, T-shirt/top, Sneaker, Coat"
44.0,44.png,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]","6, 9, 8, 1","Shirt, Ankle boot, Bag, Trouser"
45.0,45.png,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0]","4, 5, 7, 2","Coat, Sandal, Sneaker, Pullover"
46.0,46.png,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]","6, 6, 8, 1","Shirt, Shirt, Bag, Trouser"
47.0,47.png,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","0, 9, 8, 0","T-shirt/top, Ankle boot, Bag, T-shirt/top"
48.0,48.png,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","7, 0, 6, 0","Sneaker, T-shirt/top, Shirt, T-shirt/top"
49.0,49.png,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","6, 4, 0, 2","Shirt, Coat, T-shirt/top, Pullover"
50.0,50.png,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]","2, 0, 7, 1","Pullover, T-shirt/top, Sneaker, Trouser"
51.0,51.png,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]","2, 9, 1, 5","Pullover, Ankle boot, Trouser, Sandal"
52.0,52.png,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","5, 0, 1, 6","Sandal, T-shirt/top, Trouser, Shirt"
53.0,53.png,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","0, 3, 2, 0","T-shirt/top, Dress, Pullover, T-shirt/top"
54.0,54.png,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","2, 7, 7, 0","Pullover, Sneaker, Sneaker, T-shirt/top"
55.0,55.png,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","7, 9, 1, 9","Sneaker, Ankle boot, Trouser, Ankle boot"
56.0,56.png,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1]","2, 4, 9, 6","Pullover, Coat, Ankle boot, Shirt"
57.0,57.png,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]","9, 4, 0, 0","Ankle boot, Coat, T-shirt/top, T-shirt/top"
58.0,58.png,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1]","0, 9, 2, 5","T-shirt/top, Ankle boot, Pullover, Sandal"
59.0,59.png,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","0, 9, 3, 4","T-shirt/top, Ankle boot, Dress, Coat"
60.0,60.png,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]","7, 9, 3, 6","Sneaker, Ankle boot, Dress, Shirt"
61.0,61.png,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","0, 2, 0, 3","T-shirt/top, Pullover, T-shirt/top, Dress"
62.0,62.png,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]","8, 9, 9, 5","Bag, Ankle boot, Ankle boot, Sandal"
63.0,63.png,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","7, 4, 1, 0","Sneaker, Coat, Trouser, T-shirt/top"
64.0,64.png,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","8, 4, 7, 9","Bag, Coat, Sneaker, Ankle boot"
65.0,65.png,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","0, 0, 3, 0","T-shirt/top, T-shirt/top, Dress, T-shirt/top"
66.0,66.png,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]","9, 5, 3, 1","Ankle boot, Sandal, Dress, Trouser"
67.0,67.png,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]","5, 1, 8, 1","Sandal, Trouser, Bag, Trouser"
68.0,68.png,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","5, 7, 6, 6","Sandal, Sneaker, Shirt, Shirt"
69.0,69.png,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","0, 7, 0, 5","T-shirt/top, Sneaker, T-shirt/top, Sandal"
70.0,70.png,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]","5, 7, 8, 9","Sandal, Sneaker, Bag, Ankle boot"
71.0,71.png,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]","1, 4, 5, 8","Trouser, Coat, Sandal, Bag"
72.0,72.png,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","3, 5, 3, 0","Dress, Sandal, Dress, T-shirt/top"
73.0,73.png,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]","0, 1, 0, 7","T-shirt/top, Trouser, T-shirt/top, Sneaker"
74.0,74.png,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]","9, 0, 2, 7","Ankle boot, T-shirt/top, Pullover, Sneaker"
75.0,75.png,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","0, 8, 4, 4","T-shirt/top, Bag, Coat, Coat"
76.0,76.png,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]","8, 1, 4, 1","Bag, Trouser, Coat, Trouser"
77.0,77.png,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]","5, 7, 5, 9","Sandal, Sneaker, Sandal, Ankle boot"
78.0,78.png,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","7, 7, 5, 4","Sneaker, Sneaker, Sandal, Coat"
79.0,79.png,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","5, 2, 2, 2","Sandal, Pullover, Pullover, Pullover"
80.0,80.png,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]","9, 3, 3, 0","Ankle boot, Dress, Dress, T-shirt/top"
81.0,81.png,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]","6, 1, 5, 9","Shirt, Trouser, Sandal, Ankle boot"
82.0,82.png,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]","3, 7, 9, 8","Dress, Sneaker, Ankle boot, Bag"
83.0,83.png,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]","4, 1, 0, 8","Coat, Trouser, T-shirt/top, Bag"
84.0,84.png,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","1, 4, 6, 2","Trouser, Coat, Shirt, Pullover"
85.0,85.png,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]","5, 9, 4, 8","Sandal, Ankle boot, Coat, Bag"
86.0,86.png,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]","8, 4, 1, 0","Bag, Coat, Trouser, T-shirt/top"
87.0,87.png,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]","9, 3, 2, 5","Ankle boot, Dress, Pullover, Sandal"
88.0,88.png,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]","9, 6, 2, 6","Ankle boot, Shirt, Pullover, Shirt"
89.0,89.png,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","0, 0, 9, 7","T-shirt/top, T-shirt/top, Ankle boot, Sneaker"
90.0,90.png,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","2, 0, 0, 3","Pullover, T-shirt/top, T-shirt/top, Dress"
91.0,91.png,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]","0, 7, 3, 9","T-shirt/top, Sneaker, Dress, Ankle boot"
92.0,92.png,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]","9, 5, 1, 6","Ankle boot, Sandal, Trouser, Shirt"
93.0,93.png,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]","5, 0, 9, 3","Sandal, T-shirt/top, Ankle boot, Dress"
94.0,94.png,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","3, 0, 2, 9","Dress, T-shirt/top, Pullover, Ankle boot"
95.0,95.png,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","2, 5, 1, 2","Pullover, Sandal, Trouser, Pullover"
96.0,96.png,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","3, 3, 1, 5","Dress, Dress, Trouser, Sandal"
97.0,97.png,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1]","5, 9, 3, 2","Sandal, Ankle boot, Dress, Pullover"
98.0,98.png,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]","2, 5, 9, 2","Pullover, Sandal, Ankle boot, Pullover"
99.0,99.png,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","7, 6, 8, 0","Sneaker, Shirt, Bag, T-shirt/top"
100.0,100.png,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","5, 2, 5, 3","Sandal, Pullover, Sandal, Dress"
101.0,101.png,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1]","9, 7, 2, 8","Ankle boot, Sneaker, Pullover, Bag"
102.0,102.png,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","0, 4, 0, 2","T-shirt/top, Coat, T-shirt/top, Pullover"
103.0,103.png,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","0, 0, 1, 8","T-shirt/top, T-shirt/top, Trouser, Bag"
104.0,104.png,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0]","7, 2, 0, 4","Sneaker, Pullover, T-shirt/top, Coat"
105.0,105.png,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","7, 6, 5, 7","Sneaker, Shirt, Sandal, Sneaker"
106.0,106.png,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","7, 7, 2, 2","Sneaker, Sneaker, Pullover, Pullover"
107.0,107.png,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]","4, 9, 1, 0","Coat, Ankle boot, Trouser, T-shirt/top"
108.0,108.png,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","8, 3, 9, 1","Bag, Dress, Ankle boot, Trouser"
109.0,109.png,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]","7, 5, 9, 6","Sneaker, Sandal, Ankle boot, Shirt"
110.0,110.png,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]","5, 7, 0, 2","Sandal, Sneaker, T-shirt/top, Pullover"
111.0,111.png,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]","3, 7, 9, 8","Dress, Sneaker, Ankle boot, Bag"
112.0,112.png,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","7, 5, 6, 8","Sneaker, Sandal, Shirt, Bag"
113.0,113.png,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0]","1, 0, 8, 3","Trouser, T-shirt/top, Bag, Dress"
114.0,114.png,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]","3, 5, 6, 7","Dress, Sandal, Shirt, Sneaker"
115.0,115.png,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","6, 0, 7, 7","Shirt, T-shirt/top, Sneaker, Sneaker"
116.0,116.png,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1]","9, 2, 5, 8","Ankle boot, Pullover, Sandal, Bag"
117.0,117.png,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]","6, 4, 9, 7","Shirt, Coat, Ankle boot, Sneaker"
118.0,118.png,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0]","2, 0, 8, 3","Pullover, T-shirt/top, Bag, Dress"
119.0,119.png,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]","1, 6, 1, 3","Trouser, Shirt, Trouser, Dress"
120.0,120.png,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]","5, 0, 9, 9","Sandal, T-shirt/top, Ankle boot, Ankle boot"
121.0,121.png,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]","0, 1, 7, 3","T-shirt/top, Trouser, Sneaker, Dress"
122.0,122.png,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]","1, 1, 4, 9","Trouser, Trouser, Coat, Ankle boot"
123.0,123.png,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1]","1, 4, 4, 9","Trouser, Coat, Coat, Ankle boot"
124.0,124.png,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","9, 2, 4, 5","Ankle boot, Pullover, Coat, Sandal"
125.0,125.png,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","6, 6, 7, 2","Shirt, Shirt, Sneaker, Pullover"
126.0,126.png,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","6, 7, 7, 6","Shirt, Sneaker, Sneaker, Shirt"
127.0,127.png,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","1, 1, 0, 0","Trouser, Trouser, T-shirt/top, T-shirt/top"
128.0,128.png,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","1, 8, 8, 1","Trouser, Bag, Bag, Trouser"
129.0,129.png,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","6, 9, 0, 6","Shirt, Ankle boot, T-shirt/top, Shirt"
130.0,130.png,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","1, 6, 5, 1","Trouser, Shirt, Sandal, Trouser"
131.0,131.png,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]","8, 3, 5, 2","Bag, Dress, Sandal, Pullover"
132.0,132.png,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","5, 4, 4, 8","Sandal, Coat, Coat, Bag"
133.0,133.png,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","0, 0, 5, 5","T-shirt/top, T-shirt/top, Sandal, Sandal"
134.0,134.png,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]","6, 3, 5, 4","Shirt, Dress, Sandal, Coat"
135.0,135.png,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","0, 3, 3, 8","T-shirt/top, Dress, Dress, Bag"
136.0,136.png,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","3, 0, 5, 0","Dress, T-shirt/top, Sandal, T-shirt/top"
137.0,137.png,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]","8, 1, 5, 7","Bag, Trouser, Sandal, Sneaker"
138.0,138.png,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","7, 0, 0, 7","Sneaker, T-shirt/top, T-shirt/top, Sneaker"
139.0,139.png,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]","0, 0, 4, 7","T-shirt/top, T-shirt/top, Coat, Sneaker"
140.0,140.png,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]","6, 1, 0, 3","Shirt, Trouser, T-shirt/top, Dress"
141.0,141.png,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","5, 6, 5, 4","Sandal, Shirt, Sandal, Coat"
142.0,142.png,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]","3, 4, 3, 8","Dress, Coat, Dress, Bag"
143.0,143.png,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]","5, 9, 5, 6","Sandal, Ankle boot, Sandal, Shirt"
144.0,144.png,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]","6, 9, 3, 7","Shirt, Ankle boot, Dress, Sneaker"
145.0,145.png,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","7, 0, 7, 5","Sneaker, T-shirt/top, Sneaker, Sandal"
146.0,146.png,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]","3, 4, 7, 4","Dress, Coat, Sneaker, Coat"
147.0,147.png,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]","3, 5, 5, 6","Dress, Sandal, Sandal, Shirt"
148.0,148.png,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","7, 5, 6, 6","Sneaker, Sandal, Shirt, Shirt"
149.0,149.png,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]","9, 2, 7, 7","Ankle boot, Pullover, Sneaker, Sneaker"
150.0,150.png,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]","1, 5, 3, 7","Trouser, Sandal, Dress, Sneaker"
151.0,151.png,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]","7, 9, 4, 4","Sneaker, Ankle boot, Coat, Coat"
152.0,152.png,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]","0, 6, 8, 6","T-shirt/top, Shirt, Bag, Shirt"
153.0,153.png,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","8, 6, 9, 5","Bag, Shirt, Ankle boot, Sandal"
154.0,154.png,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","5, 0, 5, 7","Sandal, T-shirt/top, Sandal, Sneaker"
155.0,155.png,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]","1, 6, 2, 2","Trouser, Shirt, Pullover, Pullover"
156.0,156.png,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","6, 9, 8, 7","Shirt, Ankle boot, Bag, Sneaker"
157.0,157.png,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0]","4, 5, 2, 1","Coat, Sandal, Pullover, Trouser"
158.0,158.png,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]","4, 1, 8, 0","Coat, Trouser, Bag, T-shirt/top"
159.0,159.png,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","4, 0, 5, 0","Coat, T-shirt/top, Sandal, T-shirt/top"
160.0,160.png,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","3, 0, 0, 7","Dress, T-shirt/top, T-shirt/top, Sneaker"
161.0,161.png,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]","7, 1, 4, 6","Sneaker, Trouser, Coat, Shirt"
162.0,162.png,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","0, 7, 6, 0","T-shirt/top, Sneaker, Shirt, T-shirt/top"
163.0,163.png,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","7, 4, 1, 0","Sneaker, Coat, Trouser, T-shirt/top"
164.0,164.png,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]","9, 7, 0, 5","Ankle boot, Sneaker, T-shirt/top, Sandal"
165.0,165.png,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]","0, 1, 3, 4","T-shirt/top, Trouser, Dress, Coat"
166.0,166.png,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","7, 1, 2, 1","Sneaker, Trouser, Pullover, Trouser"
167.0,167.png,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]","8, 6, 2, 2","Bag, Shirt, Pullover, Pullover"
168.0,168.png,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","9, 8, 4, 7","Ankle boot, Bag, Coat, Sneaker"
169.0,169.png,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","1, 2, 3, 6","Trouser, Pullover, Dress, Shirt"
170.0,170.png,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]","4, 2, 2, 9","Coat, Pullover, Pullover, Ankle boot"
171.0,171.png,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0]","4, 7, 1, 8","Coat, Sneaker, Trouser, Bag"
172.0,172.png,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","0, 3, 7, 0","T-shirt/top, Dress, Sneaker, T-shirt/top"
173.0,173.png,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]","8, 7, 5, 4","Bag, Sneaker, Sandal, Coat"
174.0,174.png,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","7, 7, 0, 2","Sneaker, Sneaker, T-shirt/top, Pullover"
175.0,175.png,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","1, 5, 4, 0","Trouser, Sandal, Coat, T-shirt/top"
176.0,176.png,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","4, 4, 1, 2","Coat, Coat, Trouser, Pullover"
177.0,177.png,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","1, 0, 6, 6","Trouser, T-shirt/top, Shirt, Shirt"
178.0,178.png,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","1, 9, 1, 0","Trouser, Ankle boot, Trouser, T-shirt/top"
179.0,179.png,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 0]","0, 2, 8, 4","T-shirt/top, Pullover, Bag, Coat"
180.0,180.png,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]","5, 1, 7, 5","Sandal, Trouser, Sneaker, Sandal"
181.0,181.png,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","4, 5, 6, 7","Coat, Sandal, Shirt, Sneaker"
182.0,182.png,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","1, 6, 2, 0","Trouser, Shirt, Pullover, T-shirt/top"
183.0,183.png,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]","7, 1, 3, 8","Sneaker, Trouser, Dress, Bag"
184.0,184.png,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","5, 0, 1, 4","Sandal, T-shirt/top, Trouser, Coat"
185.0,185.png,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","1, 0, 3, 9","Trouser, T-shirt/top, Dress, Ankle boot"
186.0,186.png,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]","3, 4, 7, 4","Dress, Coat, Sneaker, Coat"
187.0,187.png,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]","6, 2, 7, 3","Shirt, Pullover, Sneaker, Dress"
